TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
2250,2365,3340,-44,36
2251,2028,3340,-52,0
2252,2028,3340,-52,0
2253,2028,3340,-52,0
2255,2028,3340,-52,0
2256,2028,3340,-52,0
2257,2028,3340,-52,0
2258,2028,3340,-52,0
2259,2028,3340,-52,0
2260,2028,3340,-52,0
2261,2765,2845,0,28
2262,2765,2845,0,28
2263,2765,2845,0,28
2264,2765,2845,0,28
2265,2765,2845,0,28
2266,2765,2845,0,28
2267,2765,2845,0,28
2268,2765,2845,0,28
2269,2765,2845,0,28
